 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
BuildingDescription_PotionMaker,"Crafts 2 <style=KeyWord>Consumables</style> every <style=Production>Production Phase</style>.
Additional <style=KeyWord>Consumables</style> can be crafted with the help of <style=Workers>Workers</style>.","Fabrique 2 <style=KeyWord>Consommables</style> à chaque <style=Production>Phase de Production</style>.
Des <style=KeyWord>Consommables</style> supplémentaires peuvent être fabriqués avec l'aide d'<style=Workers>Ouvriers</style>.","在每个<style=Production>整备阶段</style>产出2个<style=KeyWord>消耗品</style>。
在<style=Workers>工人</style>的帮助下可以生产出更多<style=KeyWord>消耗品</style>。","在每個<style=Production>整備階段</style>產出2個<style=KeyWord>消耗品</style>。
在<style=Workers>工人</style>的幫助下可以生產出更多<style=KeyWord>消耗品</style>。","<style=Production>生産フェーズ</style>毎に<style=KeyWord>消費アイテム</style>を2つ作る。
<style=Workers>労働者</style>の力により、追加の<style=KeyWord>消費アイテム</style>が作られる。","Производит 2 <style=KeyWord>расходуемых предмета</style> каждую <style=Production>фазу производства</style>.
Может производить больше <style=KeyWord>расходуемых предметов</style> с помощью <style=Workers>рабочих</style>.","Створює 2 <style=KeyWord>витратні речі</style> під час кожної <style=Production>фази підготовки</style>.
Можна створити додаткові <style=KeyWord>витратні речі</style> з допомогою <style=Workers>робітників</style>.","Erschafft 2 <style=KeyWord>Konsumgüter</style> in jeder <style=Production>Produktionsphase</style> her.
Zusätzliche <style=KeyWord>Konsumgüter</style> können mithilfe von <style=Workers>Arbeitern</style> hergestellt werden.","Fabrica 2 <style=KeyWord>objetos consumibles</style> en cada <style=Production>fase de producción</style>.
 Puede fabricar <style=KeyWord>objetos consumibles</style> adicionales con ayuda de <style=Workers>trabajadores</style>.","Produz 2 <style=KeyWord>Consumíveis</style> toda <style=Production>Fase de Produção</style>.
<style=KeyWord>Consumíveis</style> adicionais podem ser produzidos com a ajuda de <style=Workers>Trabalhadores</style>.","<style=Production>생산 단계</style>를 시작할 때마다 <style=KeyWord>소모품</style> 2개를 제작합니다.
<style=Workers>일꾼</style>의 도움을 받아 <style=KeyWord>소모품</style>을 더 제작할 수 있습니다."
BuildingUpgradeTooltipName_UpgradeFillGaugeProductionPotion0,Production +,Production +,生产力 +,生產力 +,生産量+,Производство +,Виробництво +,Produktion +,Producción +,Produção +,생산 +
BuildingUpgradeTooltipDescription_UpgradeFillGaugeProductionPotion0,"Upgrades passive <style=ProductionEffect>production</style>:
• <style=KeyWord>Item(s)</style> crafted <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Améliore la <style=ProductionEffect>production</style> passive<nbsp>:
• <style=KeyWord>Objets</style> fabriqués <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","升级自动<style=ProductionEffect>生产力</style>：
 • 生产<style=KeyWord>物品</style>数量 <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>。","升級自動<style=ProductionEffect>生產力</style>：
• 生產<style=KeyWord>物品</style>數量 <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>。","自動的な<style=ProductionEffect>生産</style>を強化する:
 ・生産される<style=KeyWord>アイテム</style><style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>。","Улучшает пассивное <style=ProductionEffect>производство</style>:
• <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style> предм. <style=KeyWord>каждое утро</style>.","Покращує пасивне <style=ProductionEffect>виробництво</style>:
 • Створених <style=KeyWord>речей</style> <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Verbessert die passive <style=ProductionEffect>Produktion</style>:
 • <style=KeyWord>Gegenstände</style> hergestellt <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Mejora la <style=ProductionEffect>producción</style> pasiva:
 • <style=KeyWord>Objetos</style> fabricados <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","Melhora a <style=ProductionEffect>produção</style> passiva:
 • <style=KeyWord>Item(ns)</style> produzido(s) <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>.","기본 <style=ProductionEffect>생산</style> 강화:
 • 제작 <style=KeyWord>아이템</style> <style=""Number"">{0}</style> > <style=""GoodNbOutlined"">{1}</style>"
SkillName_Assassinate_Unique,Assassinate,Assassinat,暗杀,暗殺,暗殺,Стрельба наповал,Убивство,Meucheln,Asesinato,Assassinato,암살
SkillName_InfectUnique,Infect,Infection,感染,感染,汚染,Зараза,Зараження,Infizieren,Infección,Infecção,감염
SkillName_SlowDeathOffhand,Slow Death (Off-hand),Mort à petit feu (secondaire),缓慢死亡（副手）,緩慢死亡（副手）,緩やかな死(オフハンド),Долгая смерть (вторая рука),Повільна смерть (допоміжне),Langsamer Tot (Nebenhand),Muerte lenta (mano secundaria),Morte Lenta (mão secundária),느린 죽음 (보조)
SkillName_Command,Command,Commandement,命令,命令,指令,Команда,Команда,Befehl,Comando,Comando,지휘
SkillName_Inspiration,Overload,Overload,鼓舞,鼓舞,インスピレーション,Вдохновение,Натхнення,Inspiration,Inspiración,Inspiração,영감
SkillName_ArmorInspiration,Sacrifice,Sacrifice,献祭,獻祭,捧げもの,Подношение,Підношення,Opfergabe,Ofrenda,Oferenda,제물
SkillName_SuperInspiration,Heavy Overload,Heavy Overload,振奋鼓舞,振奮鼓舞,深いインスピレーション,Великое вдохновение,Глибоке натхнення,Starke Inspiration,Inspiración profunda,Inspiração Profunda,심오한 영감
SkillName_ArmorCleanse,Faith,Faith,净化,淨化,安定,Стабилизация,Стабілізувати,Stabilisieren,Estabilización,Estabilidade,안정화
SkillName_ArmorRun,Surge,Surge,激涌,激湧,サージ,Рывок,Ривок,Schub,Impulso,Surto,질주
SkillName_MartialPunch,Martial Punch,Martial Punch,武术重拳,武術重拳,武術パンチ,Боевой удар,Бойовий удар,Kampfschlag,Golpe marcial,Soco marcial,무술 펀치
PerkName_MartialPunch,Martial Punch,Martial Punch,武术重拳,武術重拳,武術パンチ,Боевой удар,Бойовий удар,Kampfschlag,Golpe marcial,Soco marcial,무술 펀치
SkillName_CripplingPunch,Crippling Punch,Crippling Punch,致残重拳,致殘重拳,壊滅パンチ,Калечащий удар,Калічний удар,Lähmender Schlag,Puñetazo debilitante,Soco debilitante,무력화 펀치
PerkName_CripplingPunch,Crippling Punch,Crippling Punch,致残重拳,致殘重拳,壊滅パンチ,Калечащий удар,Калічний удар,Lähmender Schlag,Puñetazo debilitante,Soco debilitante,무력화 펀치
PerkDescription_MartialPunch,"Upgrades the {0} skill to {1}, dealing more <style=KeyWord>damage</style> and allowing to <style=RegenStat>refresh</style> <style=GoodNb>1</style> <style=MovePoints>Move Point</style>.
Every {4} <style=KeyWord>enemies killed using</style> {1}, its <style=KeyWord>base damage</style> is increased by {2}. The amount of enemies to kill is increased by {5} every {3} bonus damage obtained.","Ameliore la competence {0} en {1}, ce qui inflige davantage de <style=KeyWord>degats</style> et permet de <style=RegenStat>restaurer</style> <style=GoodNb>1</style> <style=MovePoints>Point de mouvement</style>.
Tous les {4} ennemis <style=KeyWord>tues avec</style> {1}, ses <style=KeyWord>degats de base</style> augmentent de {2}. Le nombre d'ennemis a tuer augmente de {5} tous les {3} degats bonus obtenus.","将技能{0}升级为{1}，造成更高的<style=KeyWord>伤害</style>，并可<style=RegenStat>恢复</style><style=GoodNb>1</style><style=MovePoints>移动点</style>。
每使用{1}<style=KeyWord>击杀</style>{4}个敌人，其<style=KeyWord>基础伤害</style>提高{2}。每获得{3}点额外伤害后，所需击杀数增加{5}。","將技能{0}升級為{1}，造成更高的<style=KeyWord>傷害</style>，並可<style=RegenStat>恢復</style><style=GoodNb>1</style><style=MovePoints>移動點</style>。
每使用{1}<style=KeyWord>擊殺</style>{4}個敵人，其<style=KeyWord>基礎傷害</style>提高{2}。每獲得{3}點額外傷害後，所需擊殺數增加{5}。","{0}スキルを{1}に強化し、より高い<style=KeyWord>ダメージ</style>を与え、<style=RegenStat>移動ポイント</style>を<style=GoodNb>1</style><style=MovePoints>回復</style>できる。
{1}で敵を{4}体<style=KeyWord>撃破</style>するたび、<style=KeyWord>基礎ダメージ</style>が{2}増加する。ボーナスダメージを{3}得るごとに、必要撃破数が{5}増加する。","Улучшает навык {0} до {1}: он наносит больше <style=KeyWord>урона</style> и позволяет <style=RegenStat>восстановить</style> <style=GoodNb>1</style> <style=MovePoints>очко перемещения</style>.
За каждые {4} врага, <style=KeyWord>убитых с помощью</style> {1}, его <style=KeyWord>базовый урон</style> увеличивается на {2}. Требуемое число убийств увеличивается на {5} за каждые {3} полученного бонусного урона.","Покращує вміння {0} до {1}: воно завдає більше <style=KeyWord>шкоди</style> і дає змогу <style=RegenStat>відновити</style> <style=GoodNb>1</style> <style=MovePoints>очко руху</style>.
За кожні {4} ворогів, <style=KeyWord>убитих за допомогою</style> {1}, його <style=KeyWord>базова шкода</style> зростає на {2}. Необхідна кількість убивств збільшується на {5} за кожні {3} отриманої бонусної шкоди.","Verbessert die Fertigkeit {0} zu {1}, verursacht mehr <style=KeyWord>Schaden</style> und erlaubt, <style=GoodNb>1</style> <style=MovePoints>Bewegungspunkt</style> <style=RegenStat>wiederherzustellen</style>.
Alle {4} mit {1} <style=KeyWord>getoeteten Gegner</style> erhoehen den <style=KeyWord>Basisschaden</style> um {2}. Die benoetigte Anzahl an Toetungen steigt um {5} pro {3} erhaltenem Bonusschaden.","Mejora la habilidad {0} a {1}, inflige mas <style=KeyWord>danio</style> y permite <style=RegenStat>recuperar</style> <style=GoodNb>1</style> <style=MovePoints>punto de movimiento</style>.
Cada {4} enemigos <style=KeyWord>asesinados con</style> {1}, su <style=KeyWord>danio base</style> aumenta en {2}. La cantidad de enemigos necesaria aumenta en {5} por cada {3} de danio adicional obtenido.","Aprimora a habilidade {0} para {1}, causando mais <style=KeyWord>dano</style> e permitindo <style=RegenStat>recuperar</style> <style=GoodNb>1</style> <style=MovePoints>Ponto de Movimento</style>.
A cada {4} inimigos <style=KeyWord>abatidos com</style> {1}, seu <style=KeyWord>dano base</style> aumenta em {2}. A quantidade de inimigos necessaria aumenta em {5} a cada {3} de dano bonus obtido.","{0} 스킬을 {1}(으)로 강화하여 <style=KeyWord>피해량</style>이 증가하고 <style=MovePoints>이동력</style> <style=GoodNb>1</style>을 <style=RegenStat>회복</style>할 수 있습니다.
{1}로 적을 {4}명 <style=KeyWord>처치</style>할 때마다 해당 스킬의 <style=KeyWord>기본 피해</style>가 {2} 증가합니다. 추가 피해를 {3} 얻을 때마다 필요한 처치 수가 {5} 증가합니다."
SkillName_Hemokinesis,Hemokinesis,Hemokinesis,控血术,控血術,ヘモキネシス,Гемокинез,Гемокінез,Hämokinese,Hemocinesis,Hemocinese,헤모키네시스
SkillName_ShieldBash,Shield Bash,Shield Bash,盾击,盾擊,シールドバッシュ,Удар щитом,Удар щитом,Schildstoß,Golpe de escudo,Golpe de escudo,방패 강타
SkillEffectDescription_ResupplyCharges,"<style=KeyWord>Gives back</style> <style=GoodNb>2</style> <style=TrapUse>Charge</style> to the target trap.
<style=Attenuated>Cannot overflow.</style>","<style=KeyWord>Rend</style> <style=GoodNb>2</style> <style=TrapUse>Charge</style> au piège ciblé.
<style=Attenuated>Ne peut dépasser la valeur maximale de l'attribut.</style>","<style=KeyWord>补充</style>陷阱的<style=GoodNb>2次</style><style=TrapUse>使用次数</style>。
<style=Attenuated>不能超过</style>上限。","<style=KeyWord>補充</style>陷阱的<style=GoodNb>2次</style><style=TrapUse>使用次數</style>。
<style=Attenuated>不能超過</style>上限。","対象トラップの<style=TrapUse>チャージ</style>を<style=GoodNb>2</style>回復<style=KeyWord>する</style>。
<style=Attenuated>回数上限を超えることはない。</style>","<style=KeyWord>Восстанавливает</style> <style=GoodNb>2</style> <style=TrapUse>заряд</style> выбранной ловушке.
<style=Attenuated>ВАЖНО: излишек зарядов будет потерян!</style>","<style=KeyWord>Повертає</style> <style=GoodNb>2</style> <style=TrapUse>заряд</style> цільової пастки.
<style=Attenuated>Неможливо зробити більше максимуму.</style>","<style=KeyWord>Gibt</style> <style=GoodNb>2</style> <style=TrapUse>Ladung</style> an die Zielfalle zurück.
 <style=Attenuated>Kann nicht überlaufen.</style>","<style=KeyWord>Recupera</style> <style=GoodNb>2 </style> <style=TrapUse>carga</style> de la trampa objetivo.
<style=Attenuated>No puede sobrepasar el máximo.</style>","<style=KeyWord>Devolve</style> <style=GoodNb>2</style> <style=TrapUse>Carga</style> à armadilha alvo.
<style=Attenuated>Não excede o máximo.</style>","대상 함정에 <style=TrapUse>충전</style>을 <style=GoodNb>2</style>회만큼 <style=KeyWord>돌려줍니다</style>.
<style=Attenuated>최대치를 초과할 수 없습니다.</style>"
